"compound","unique_id","plant","type","new_cat","genus","family","order","location","region","new_class","new_sub_class","sum_area","perc_area","prop_area","smiles","inchikeys","abundance","sum_abund","rel_abund"
"1-pentanol, 4-methyl-","Vc 37-Can","Raphanus sativus","Arable","Crops","Raphanus","Brassicaceae","Brassicales","Canterbury","Upper south island","Fatty acid derivatives","Fatty alcohols",2073,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",2073,2073,1
"1-pentanol, 4-methyl-","Vc57-Chr","Cephalaria gigantea","Flower","Ornamentals","Cephalaria","Caprifoliaceae","Dipsacales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",1686,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",1686,4208,0.400665399239544
"1-pentanol, 4-methyl-","Vc 39-Can","Raphanus sativus","Arable","Crops","Raphanus","Brassicaceae","Brassicales","Canterbury","Upper south island","Fatty acid derivatives","Fatty alcohols",998,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",998,998,1
"1-pentanol, 4-methyl-","Vc 114-Dun","Lavandula dentata","Flower","Ornamentals","Lavandula","Lamiaceae","Lamiales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",114,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",114,7249,0.0157263070768382
"1-pentanol, 4-methyl-","Vc 115-Dun","Lavandula dentata","Flower","Ornamentals","Lavandula","Lamiaceae","Lamiales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",2617,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",2617,9148,0.286073458679493
"1-pentanol, 4-methyl-","Vc58-Chr","Cephalaria gigantea","Flower","Ornamentals","Cephalaria","Caprifoliaceae","Dipsacales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",4095,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",4095,6897,0.593736407133536
"1-pentanol, 4-methyl-","Vc59-Chr","Cephalaria gigantea","Flower","Ornamentals","Cephalaria","Caprifoliaceae","Dipsacales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",1208,NA,NA,"Cc(c)ccco","Pcwgtdulnuvnbn-uhfffaoysa-n",1208,4503,0.268265600710637
"Pentane, 3-methyl- 1","Vc 129-Dun","Oenothera caespitosa","Flower","Ornamentals","Oenothera","Onagraceae","Myrtales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",1938,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",1938,1938,1
"Pentane, 3-methyl- 1","Vc 132-Dun","Artemisia dracunculus","Flower","Ornamentals","Artemisia","Asteraceae","Asterales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",3019,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",3019,17876,0.168885656746476
"Pentane, 3-methyl- 1","Vc 133-Dun","Artemisia dracunculus","Flower","Ornamentals","Artemisia","Asteraceae","Asterales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Hydrocarbons",3981,NA,NA,"Ccc(c)cc","Pfeozhbomnwtjb-uhfffaoysa-n",3981,13732,0.289906787066706
